,Unnamed: 0,IsToxic,IsAbusive,IsThreat,IsProvocative,IsObscene,IsHatespeech,IsRacist,IsNationalist,IsSexist,IsReligiousHate,LEMM,Unnamed: 0.1
0,0,False,False,False,False,False,False,False,False,False,False,"If people would take step back make case , ' anyone except two people situation . To lump mess take matter hand make kind protest selfish without rational thought investigation . The guy video heavily emotional hyped want heard , get heard press . He never reasonable discussion . Kudos Smerconish keeping level whole time letting Masri make fool . How dare tore city protest make dishonor entire incident hate . By way , since police brutality become epidemic ? I wish everyone would stop pretending like knew EXACTLY going , ' measurable amount people honestly witnessed incident , none u clue way whole issue swung . The grand jury informed , trust majority rule right course action let . Also , thank 99.999 % police officer America actually serve & protect , even ' bit jerk pull , I respect job know someone many people going pout held accountable action . People hate police need officer two around emergency .",
1,1,True,True,False,False,False,False,False,False,False,False,Law enforcement trained shoot apprehend . They trained shoot kill . And I thank Wilson killing punk bitch .,
2,2,True,True,False,False,True,False,False,False,False,False,Dont reckon 'black life matter ' banner held white cunt kinda patronizing ironically racist . could come somethin better .. white folk give self pride . 'ooo look im nice black people ' always race actually whole world pussyfootin around fear racist . fuckin daft man .,
3,3,False,False,False,False,False,False,False,False,False,False,"There large number people like police officer . They called Criminals reason police officer . The fact Criminals like police officer testament good work police officer protecting public . When child family danger , hessitate call help , call Police . Its time people stopped complaining started give Police respect hard work dedication often requires put life line , serve public .",
4,4,False,False,False,False,False,False,False,False,False,False,"The Arab dude absolutely right , shot 6 extra time . Shoot he attacking would stop attack . Shoot twice ' still attacking , six time ? That shoot kill opinion .",
5,5,True,False,False,False,False,True,False,False,False,True,people facebook http : //www.facebook.com/bassem.masri.520 tie isi terrorist group muslim extremist,
6,6,True,False,False,False,False,True,True,False,False,False,"Check tube post . `` Black man go epic rant Ferguson rioter . '' Although message delivered childish , cartoon-ish emotion .... He one African American ' get .",
7,7,True,True,False,False,True,True,True,False,False,False,I would LOVE see pussy go Staten Island spit cop . I would LOVE see happen . Mike Brown strong arm thug people burning Ferguson . Eric Garnier nothing wrong choked death . No protest mafia controlled Staten Island . No burning car . Nothing .,
8,8,False,False,False,False,False,False,False,False,False,False,I agree protestor .,
9,9,True,True,False,False,True,False,False,False,False,False,mike brown father made say boooshit,
10,10,True,True,False,False,True,False,False,False,False,False,guy right point . ' judge speaking ability judge messege ! racist fuck suck dick . like always medium focusing thing ' matter . CNN shit .,
11,11,False,False,False,False,False,False,False,False,False,False,"moral story , ' reach cop gun ' probably gunna get shot , white black",
12,12,True,True,False,False,False,False,False,False,False,False,Masri close get ISIS America .,
13,13,True,False,False,False,False,True,True,False,False,False,We know chimpers compassion mud pumping heart .,
14,14,True,True,False,False,False,False,False,False,False,False,"`` I believe whatever I wan na believe , I ' care say . '' Bassem Masri , idiot .",
15,15,True,False,False,False,False,True,False,False,False,True,Bassem Masri terrorist part isi,
16,16,True,True,False,True,False,False,False,False,False,False,I would'nt waist time trying reason Police spitting Thug . Trying defend Criminal Brown losing matter . The Grand Jury made ' decision . Live .,
17,17,True,True,False,False,False,False,False,False,False,False,"I wish mr masri dead , ,",
18,18,False,False,False,False,False,False,False,False,False,False,"Thus , collapse USA , two possibility considered , whereby , one , boil dictatorship evil reprisal , possibility may new reconstruction , people fundamentally conscious responsibility attain government really everything bring effective valuable new start . But whether actually occur , currently extremely questionable , presently , totalitarian manner , everything directed towards interest economic , military , political cultural – well towards strict fundamentalist religious-sectarian – based enormous lie devious , misanthropic , criminal felonious machination every imaginable regard . This also mean population USA spied upon secret service even severely within neighbourhood , forth , , every possible manner restricted freedom , addition violence , emerges form , openly covertly.﻿",
19,19,True,True,False,False,True,False,False,False,False,False,"You actually CAN shout `` fire '' crowded theater . Christopher Hitchens demonstrated talk `` free speech . '' Look . The interviewee correct . Cops serve public , way around . And consistent serving public police department represent public ' race ethnicity rank . Hire bunch big , tough , black guy police department fewer black shot death puny white guy felt humiliated got bitch slapped teenager .",
20,20,True,True,False,False,False,False,False,False,False,False,"I think , kill",
21,21,False,False,False,False,False,False,False,False,False,False,LEGALIZE MARIJUANA ! Then problem stop,
22,22,False,False,False,False,False,False,False,False,False,False,1 word : Provocateur ........,
23,23,True,True,False,False,False,False,False,False,False,False,Lol . This happens greedy rich slime keep mass uneducated & ignorant . Now deal stupid created . Trying reason irrational exercise futility . Get popcorn ready bc boil . If fall talk fall walking .,
24,24,True,True,False,False,False,False,False,False,False,False,"The legal system inherently racist , CNN reporter",
25,25,True,False,False,False,False,True,False,False,False,True,He look ready cut head must isi sympathizer I ' going say maybe 5 % care issue hand 95 % want go loot store fuck shit ...,
26,26,True,True,False,False,False,False,False,False,False,False,"lol , `` shoot apprehend '' . He idiot .",
27,27,False,False,False,False,False,False,False,False,False,False,"This case overshadowed cop murdered kid fake sword Saratoga Springs , Utah . I much outraged Mike brown case . The murder happened Utah deal . Cops provided non lethal weapon . The shooting Utah unwarranted ran , ' know ran lunged police fake sword taken opportunity immediate action right . He ran shot 6 time back . We know large group cop corrupt murderer nothing new . Though I ran police many time I teen , cop pursue find hiding . Not put 6 bullet back ending life . They said paper , Saratoga Springs 5 % black population .. I I would say 5 % .",
28,28,True,False,False,False,False,True,True,False,False,False,This man zionist jew look ypu see jewnesss face cnn employ zionist sympathiser neo-con racist wolf blitzer emplpyeee,
29,29,False,False,False,False,False,False,False,False,False,False,"`` There blood street worried word '' .... ALL getting tired way mainstream medium treating u like idiot follow condescending , irrelevant , distracting , disparaging narrative ... Step CNN",
30,30,True,True,False,True,False,False,False,False,False,False,"stop criminal wont get shot , simple",
31,31,False,False,False,False,False,False,False,False,False,False,I LIKE TURTLES !,
32,32,True,True,False,False,False,False,False,False,False,False,Massri need education .,
33,33,True,True,False,False,True,False,False,False,False,False,CNN mother fucker .... fuck peace shit !,
34,34,True,True,False,True,True,True,True,False,False,False,"Hers statement , I think ali sheep butt fucker masri take ak go fight syria ..",
35,35,True,True,False,False,False,False,False,False,False,False,Hahahahaha . This guy Ed Bassmaster ' character ALWAYS TESTE . Ed Bassmaster semi-retarded character cross-eyed like guy,
36,36,False,False,False,False,False,False,False,False,False,False,How childish cop sleep night ?,
37,37,True,True,False,False,False,False,False,False,False,False,A completely idiot minutrs fame,
38,38,True,True,False,False,False,False,False,False,False,False,I hope god guy still falling ol banana tailpipe bullshit news ' giving,
39,39,True,True,False,False,False,False,False,False,False,False,CNN Bullcrap !,
40,40,False,False,False,False,False,False,False,False,False,False,"Alright . This entire case crap . All people saying white people racist , calling bad name `` racist '' , would like call , u . There extensive investigation prove boy ' death self defense . However , I defending whole KKK thing . But , I defending helpless citizen Ferguson . This boy died . I ' care white black . What I care people Ferguson treating town . If really cared incident , would hold memorial express feelings.This helping get justice . What really matter boy dead . Something HAS done . The Grand Jury decided . Can ?",
41,41,False,False,False,False,False,False,False,False,False,False,This guy know happened hand,
42,42,True,True,False,False,True,False,False,False,False,False,Ayy CNN lookin like pussy,
43,43,True,True,False,False,False,False,False,False,False,False,Smirconnish even-handed guy world . This guy Masri idiot .,
44,44,True,True,False,False,False,True,True,False,False,False,"Masri total idiot `` I ' know evidence , I come conclusion instead '' Here clue , dont attack cop try take gun rush finally get car wont get shot duhhh . So would Masri , take Brown icecream beating ground defend ? BTW , Browns momma gramma violently assaulted people selling T-shirts memory Brown put two people hospital , stole money trashed shop probably charged , know sort mentality Brown raised thug wan na , caused death .",
45,45,False,False,False,False,False,False,False,False,False,False,He take break Bassem making much sense debate .,
